Title,ISBN,Price,Author,Publisher,Publication time,Place of Publication,Pages,Classification Number,总借入,总续借,总借入和续借量,平均借阅时间(天),Classification
临床精神药理学手册 ,9787301295151.0,208.0,"(美)萨茨伯格 (Schatzberg, Alan F.) 著", 北京大学出版社, 2018,北京 ,550页 ,R964-62,1,1,2,21.58,General / Misc
丹麦人为什么幸福,9787508674346.0,58.0,(丹)魏金著;林娟译,中信出版社,2017.05   ,北京,285页     ,B82-49,1,0,1,2.15,General / Misc
乌合之众,9787301272084.0,35.0,(法)勒庞著,北京大学出版社,2016,北京,258页,C912.64,3,0,3,12.38,General / Misc
乌合之众:群体心理学,9787533951702.0,49.8,(法)勒庞著;董强译,浙江文艺出版社,2018.02   ,杭州,247页     ,C912.64,2,1,3,38.47,General / Misc
乌托邦 ,9787100131940.0,28.0,"(英)莫尔 (More, Thomas 1478~1535) 著", 商务印书馆, 2017,北京 ,"11,163页 : 图 ",D091.6,1,0,1,82.6,Social Sciences
习近平新时代中国特色社会主义思想基本问题,9787503568770.0,95.0,中共中央党校著,中共中央党校出版社,2020,北京,432页,D610,1,0,1,36.12,Social Sciences
习近平新时代中国特色社会主义思想学习问答 ,9787514710304.0,42.0,中共中央宣传部,学习出版社,:,北京,"10,460 ",D610,2,0,2,18.06,Social Sciences
乡土中国,9787301174821.0,26.0,费孝通,北京大学出版社,2012.10   ,北京,185页     ,C912.82,3,0,3,30.8,General / Misc
争夺非洲,9787513939072.0,149.8,张宏伟著,民主与建设出版社有限责任公司,2022,北京,459页,K4,1,0,1,,Social Sciences
云彩收集者手册 ,9787544771344.0,45.0,"(美)普雷托尔－平尼 (Pretor-Pinney, Gavin) 著", 译林出版社, 2018,南京 ,111页 : 图 ,P426.5,1,1,2,52.91,General / Misc
云边有个小卖部,9787540487645.0,42.0,张嘉佳著,湖南文艺出版社,2018.07   ,长沙,306页     ,I247.5,3,2,5,46.11,Literature
亲密关系,9787115246882.0,68.0,(美)珀尔曼,人民邮电出版社,2011.01   ,北京,430页     ,C912.1,1,0,1,,General / Misc
人人都该懂的工程学,9787213096471.0,59.9,(英)娜塔莎·麦卡锡(Natasha McCarthy)著 ,浙江人民出版社,2020,杭州,191页,TB-49,2,0,2,41.78,Science
人人都该懂的脑科学 ,9787557686642.0,65.9,"(英)阿马尔·阿尔查拉比 (Al-Chalabi, Ammar) 著", 天津科学技术出版社, 2020,天津 ,280页 : 图 ,R338.2-49,1,0,1,64.09,General / Misc
人体形态学,9787568087124.0,69.9,张烨,华中科技大学出版社,2022,武汉,339页,R32,1,0,1,32.98,General / Misc
人体解剖图谱,9787559200099.0,198.0,"(法)布尔热里 (Bourgery, Jean-Marc 1797~1849) 著", 北京美术摄影出版社, 2018,北京,829页 ,R322-64,1,0,1,27.56,General / Misc
人工智能不会做什么：1亿人类与1亿机器人共存的未来,9787220110931.0,49.0,(日)羽生善治 著, 四川人民出版社, 2019,成都 ,182页 : 图 ,TP18,1,0,1,23.98,Science
人工智能的价值反思,9787567146129.0,78.0,孙伟平著,上海大学出版社,2023,上海,258页,TP18,1,0,1,23.98,Science
人工智能简史 ,9787115471604.0,49.0,尼克 (经济学) 著, 人民邮电出版社, 2017,北京 ,313页 : 照片，图 ,TP18,1,1,2,59.58,Science
人性能达到的境界,9787512694040.0,58.0,(美)马斯洛著,团结出版社,2022,北京,"10,556页",B84,1,0,1,33.08,General / Misc
人文地理学通识:全彩插图,9787564580070.0,228.0,(英)鲁宾斯坦著　罗爽译,郑州大学出版社,2021,郑州,555,K901,1,0,1,29.15,Social Sciences
人生无真相,9787559663283.0,59.0,南怀瑾著,北京联合出版公司,2022,北京,284页,B821-49,1,1,2,34.8,General / Misc
人生最美是清欢,9787530215401.0,49.5,林清玄著,北京十月文艺出版社,2016      ,北京,249页     ,I267,2,0,2,39.99,Literature
人生看得几清明,9787550289703.0,39.5,林清玄著,北京联合出版公司,2016      ,北京,208页     ,I267,1,0,1,39.14,Literature
人类学是什么,9787301272961.0,48.0,王铭铭(著,北京 北京大学出版社 2016,2016,北京,256,Q98-49,1,0,1,,Science
人类的进击 ,9787508699165.0,59.0,唐文 (作家) 著, 中信出版集团股份有限公司, 2019,北京 ,"13,333页 ",Q981.1-49,1,0,1,,Science
从你的全世界路过,9787540491949.0,45.0,张嘉佳著,湖南文艺出版社,,,,I247.7,2,0,2,61.5,Literature
从到1:开启商业与未来的秘密,9787508649719.0,69.0,"(美)蒂尔著,高玉芳译",中信出版社,2015.02   ,北京,260页     ,F270,1,0,1,32.02,Social Sciences
从动力学到统计物理学 ,9787301276600.0,89.0,郑志刚 (1969.8~) 著, 北京大学出版社, 2016,北京 ,491页 : 图，照片 ,O313,1,0,1,105.79,Science
从零开始读懂物理学,9787301333686.0,59.0,汪振东著,北京大学出版社,2022,北京,318页,O4-49,1,0,1,20.24,Science
以罗马之名 : 缔造罗马伟业的将军们,9787557021559.0,92.0,"(英)阿德里安·戈兹沃西 (Goldsworthy, Adrian Keith 1969~) 著",广东旅游出版社,2022,广州,"12,520页 : 彩图，彩照，地图",K126-49,1,0,1,6.78,Social Sciences
伊朗简史,9787513932905.0,80.0,（英）阿克斯沃西著,民主与建设出版社有限责任公司,2020,北京,380页,K373,1,0,1,31.8,Social Sciences
休谟 ,9787544765466.0,39.0,英 艾耶尔 著),南京 译林出版社 2016,2016,南京,120图 ,B561.291,1,0,1,0.2,General / Misc
伟大的海·上,9787509791127.0,84.0,"(英)阿布拉菲亚 (Abulafia, David) 著", 社会科学文献出版社·甲骨文工作室, 2018,北京 ,"2册(11,956页) : 地图，图 ",K10,1,0,1,8.18,Social Sciences
伯克利物理学教程:第5卷·统计物理学(英文影印版),9787111464631.0,49.8,(美)F.瑞夫著,机械工业出版社,2017.01   ,北京,398页     ,O4,1,0,1,81.8,Science
体内火焰,9787509016114.0,49.8,陈思安,当代世界出版社,2021,北京,270页,I247.7,1,1,2,41.61,Literature
作为意志和表象的世界,9787553524481.0,68.0,（德）叔本华著,上海文化出版社,2021,上海,587页,B516.41,2,0,2,15.77,General / Misc
你会杀死那个胖子吗?一个关于对与错的哲学谜题,9787300200811.0,38.0,(英)埃德蒙兹著,中国人民大学出版社,2014.09   ,北京,240页     ,B82,1,0,1,0.0,General / Misc
你的夏天还好吗？,9787020171774.0,48.0,(韩)金爱烂 (女， 1980~) 著,人民文学出版社,2022,北京,239页,I312.645,1,0,1,51.07,Literature
你的第一本哲学书,9787508666792.0,38.0,(美)内格尔著;宝树译,中信出版社,2016.10   ,北京,108页     ,B-49,1,0,1,,General / Misc
信使,9787500865582.0,29.0,刘慈欣著,中国工人出版社,2017,北京,,I247.7,2,1,3,17.49,Literature
倾城之恋,9787530218624.0,49.5,张爱玲著,北京十月文艺出版社,2019,北京,328 ,I246.7,1,0,1,7.0,Literature
"做中学电子电路, 电路基础 ",9787030596451.0,68.0,(日)ADWIN株式会社 著, 科学出版社, 2019,北京 ,121页 : 图，照片 ,TN7,2,0,2,41.96,Science
健身营养全书: 关于力量与肌肉的营养策略,9787530493885.0,98.0,"勒费尔霍尔茨 , 克里斯蒂安·冯",北京科学技术出版社,2018,北京,341 ,G804.32,1,0,1,18.28,General / Misc
傲慢与偏见,9787532787319.0,98.0,(英)奥斯丁著,上海译文出版社有限公司,2021,上海,"14,440页",I561.44,1,0,1,2.98,Literature
克拉拉与太阳 ,9787532786831.0,68.0,(英)石黑一雄 (1954-) 著, 上海译文出版社有限公司, 2021,上海 ,392页 ,I561.45,1,0,1,43.94,Literature
克林格梭尔的最后夏天,9787532780822.0,98.0,（德）黑塞著,上海译文出版社,2019.4,上海,233页,I516.15,1,1,2,,Literature
克苏鲁神话Ⅳ 异界之色,9787521213973.0,43.0,(美)洛夫克拉夫特著,作家出版社有限公司,2022,北京,202页,I712.45,1,0,1,8.78,Literature
克里斯特汀,9787540482961.0,49.8,(美)金著,湖南文艺出版社,2017.10   ,长沙,515页     ,I712.45,1,1,2,,Literature
公寓,9787540482848.0,38.0,(英)格雷,湖南文艺出版社,2017.10   ,长沙,314页     ,I561.45,1,0,1,7.58,Literature
共产党宣言,9787010131566.0,32.0,"马克思,恩格斯著",人民出版社,2017.08   ,北京,188页     ,A122,1,0,1,6.12,General / Misc
共情的力量 ,9787514513011.0,49.8,"(美)乔拉米卡利 (Ciaramicoli, Arthur P.) 著", 中国致公出版社, 2019,北京 ,283页 ,B84-49,1,0,1,30.8,General / Misc
关于女儿,9787559851987.0,42.0,金惠珍著,广西师范大学出版社,2022,桂林,217页,I312.645,1,0,1,12.95,Literature
农场,9787540482862.0,42.0,(英)史密斯著,湖南文艺出版社,2017.09   ,长沙,315页     ,I561.45,1,0,1,29.67,Literature
冰火传奇,9787515314099.0,26.0,孙琇著,中国青年出版社,2013,北京,173页,K530.6,1,0,1,38.87,Social Sciences
净化基因,9787521715118.0,65.0,"(美)本·林奇 (Lynch, Ben 1974~) 著", 中信出版集团股份有限公司, 2020,北京 ,442页 ,Q343.1,1,0,1,8.85,Science
凡尔登战役,9787565842740.0,88.0,霍恩著,汕头大学出版社,2021,汕头,456页,E194.4,1,0,1,40.95,Language
凯恩斯 ,9787108065506.0,35.0,"普 (Puph, Peter) 著", 生活·读书·新知三联书店, 2019,北京 ,174页 : 图 ,F091.348,1,1,2,107.04,Social Sciences
凯恩斯以后,9787100113786.0,24.0,（英）罗宾逊著,商务印书馆,2015,北京,230页,F0-53,1,1,2,,Social Sciences
力学,9787301094013.0,50.0,舒幼生著,北京大学出版社,2005.09   ,北京,397页     ,O3,4,0,4,50.69,Science
动物农场,9787532751457.0,32.0,(英)奥威尔,上海译文出版社,2018.11   ,上海,143页     ,I561.45,2,0,2,0.18,Literature
助推快与慢：人类动因与行为经济学,9787300188317.0,52.0,"(美)卡斯·R.桑斯坦 (Sunstein, Cass R.) 著", 中国人民大学出版社, 2021,北京 ,"10,172页 ",F069.9,2,0,2,35.22,Social Sciences
匈人王阿提拉,9787559631909.0,78.0,（德）罗森著,北京联合出版公司,2019,北京,345页,K289,1,0,1,0.39,Social Sciences
北方以北 ,9787559633118.0,108.0,"(英)巴勒克拉夫 (Barraclough, Eleanor Rosamund) 著", 北京联合出版公司, 2019,北京 ,"20,376页 : 图，地图 ",K530.9,2,2,4,81.89,Social Sciences
"北欧,凛冽的世界尽头",9787508691176.0,88.0,王家敏编,中信出版社,2018.09   ,北京,271页     ,K953.09,1,0,1,0.8,Social Sciences
北欧众神 ,9787559416735.0,42.0,"(英)尼尔·盖曼 (Gaiman, Neil 1960~) 著", 江苏凤凰文艺出版社, 2018,南京 ,262页 ,I561.45,1,0,1,44.96,Literature
北欧神话 ,9787513923224.0,66.0,"(英)卡罗琳·拉灵顿 (Larrington, Carolyne) 著", 民主与建设出版社有限责任公司, 2018,北京 ,"16,183页 : 图，照片 ",I530.73,1,1,2,68.34,Literature
北洋觉梦录,9787559847010.0,49.0,禅心初著,广西师范大学出版社,2022,桂林,282页,K258.206,1,0,1,72.24,Social Sciences
千羽鹤.4,9787220128165.0,49.6,（日）川端康成著,四川人民出版社,2023,成都,241页,I313.45,1,0,1,18.19,Literature
华丽食物志,9787559825315.0,48.0,（日）涩泽龙彦著,广西师范大学出版社,2020,桂林,180页,I313.65,1,0,1,1.14,Literature
华氏451,9787532790036.0,58.0,"(美)雷·布雷德伯里 (Bradbury, Ray 1920~2012) 著",上海译文出版社,2022,上海,224页,I712.45,2,1,3,42.16,Literature
卡夫卡小说全集. 变形记,9787532787654.0,110.0,(奥)卡夫卡著　张荣昌译,上海译文出版社,2021,上海,555,I521.44,1,0,1,,Literature
印度,9787532786992.0,68.0,（法）杜拉斯著,上海译文出版社,2020,上海,460页,I565.35,1,0,1,5.82,Literature
印度六派哲学,9787100208680.0,108.0,木村泰贤著,商务印书馆,2022,北京,"10,535页",B351.2,1,0,1,17.97,General / Misc
历史哲学,9787545821826.0,128.0,(德)黑格尔著,上海书店出版社,2022,上海,"17,514页",K01,1,0,1,,Social Sciences
反抗者,9787532777280.0,58.0,(法)加缪著　沈志明译,上海译文出版社有限公司,2018,上海,425,I565.65,1,0,1,6.12,Literature
叔本华思想随笔,9787208157415.0,78.0,（德）叔本华著,上海人民出版社,2019,上海,346页,B516.41,1,1,2,56.23,General / Misc
叔本华暮年之思,9787208152809.0,45.0,(德)叔本华著,上海人民出版社,2018,上海,"29,192页",B516.41,1,0,1,0.02,General / Misc
变态心理学,9787115448385.0,128.0,(美)霍克西玛著,人民邮电出版社,2017.03   ,北京,612页     ,B846-49,1,0,1,39.0,General / Misc
叙事经济学 ,9787521715101.0,88.0,"(美)罗伯特·希勒 (Shiller, Robert J.) 著", 中信出版集团股份有限公司, 2020,北京 ,"19,355页 ",F0,1,0,1,79.99,Social Sciences
古典欧洲的诞生：从特洛伊到奥古斯丁,9787508694375.0,68.0,"(英)普莱斯 (Price, Simon) 著", 中信出版集团股份有限公司, 2019,北京 ,"23,418页 : 图 ",K502,1,0,1,37.69,Social Sciences
叩开免疫之门 ,9787513580878.0,39.0,秦志海 (1960~) 著, 外语教学与研究出版社, 2016,北京 ,172页 : 图 ,R392-49,1,0,1,7.0,General / Misc
台北人,9787549559886.0,69.0,白先勇著,广西师范大学出版社,2015.01   ,桂林,291页     ,I247.7,3,0,3,30.64,Literature
史记.2,9787101158687.0,66.8,陈曦著,中华书局,2022,北京,"10册(13,8422)",K204.2,1,0,1,234.09,Social Sciences
后电影视觉 :运动影像媒介与观众的共同进化,9787559857774.0,88.0,（美）罗杰·F·库克 著,广西师范大学出版社 ,2023.6,桂林 ,304页 ,J9,1,0,1,1.86,Arts
后翼弃兵,9787020161140.0,55.0,(美)特维斯著,人民文学出版社,2022,北京,397页,I712.45,1,0,1,25.39,Literature
向您告知，明天我们一家就要被杀 : 卢旺达大屠杀纪事,9787305230677.0,56.0,"(美)菲利普·古雷维奇 (Gourevitch, Philip) 著",南京大学出版社,2020,南京,340页,K427,1,0,1,,Social Sciences
呼吸 ,9787544779319.0,42.0,姜,译林出版社,2019,南京,329 ,I712.45,1,0,1,25.22,Literature
呼啸山庄,9787532778355.0,32.0,(英)勃朗特著,上海译文出版社,2018.08   ,上海,406页     ,I561.44,4,1,5,31.72,Literature
哈佛经济学笔记 ,9787539938608.0,42.0,陈晋 (女) 著, 江苏文艺出版社, 2010,南京 ,288页 ,F0-49,1,1,2,,Social Sciences
哲学家们都干了些什么,9787550242234.0,52.0,林欣浩著,北京联合出版公司,2015.04   ,北京,517页     ,B-49,2,0,2,108.09,General / Misc
哲学小史,9787547739617.0,49.0,（英）沃伯顿著,北京日报出版社,2021,北京,313页,B5-49,1,1,2,55.67,General / Misc
哲学课,9787521717372.0,98.0,"(美)威尔·杜兰特 (Durant, Will 1885~1981) 著",中信出版社,2021,北京,"27,419页",B,1,0,1,21.79,General / Misc
哲学起步 ,9787100154710.0,45.0,邓晓芒 (1948~) 著, 商务印书馆, 2017,北京 ,383页 ,B-49,1,0,1,,General / Misc
商业广告设计,9787302605935.0,69.8,祝彬著,清华大学出版社,2022,北京,212页,J524.3,1,0,1,,Arts
喧哗与骚动,9787020158584.0,49.0,(美)福克纳著,人民文学出版社,2019 2021印,北京,"10,367页",I712.45,1,0,1,13.97,Literature
器官之书,9787522803012.0,69.0,英国惠康博物馆著,社会科学文献出版社,2022,北京,208页,R32-49,1,1,2,38.65,General / Misc
"四世同堂. 第一部, 惶惑 ",9787547311790.0,29.5,老舍 (1899~1966) 著, 东方出版中心, 2017,上海 ,366,I246.5,1,0,1,24.98,Literature
四书五经.1,9787101136364.0,31.4,郭丹等著,中华书局,2019,北京,305页,B222.1,1,1,2,234.09,General / Misc
四百万+西部的心,9787020136919.0,98.0,(美)亨利著,人民文学出版社,2003,北京,400页,I712.44,1,0,1,42.74,Literature
四维旅行,9787535794437.0,49.0,(英)普瓦德万著;胡凯衡等译,湖南科学技术出版社,2018.01   ,长沙,297页     ,O412.1,1,0,1,24.79,Science
围城,9787020127894.0,36.0,钱钟书著,人民文学出版社 ,2017,北京 ,377页 ,I247.57,3,3,6,97.38,Literature
国富论,9787519015084.0,34.0,(英)斯密著;陈虹译,中国文联出版公司,2016.05   ,北京,658页     ,F091.33,3,0,3,61.97,Social Sciences
国王的两个身体,9787552024494.0,188.0,（德）坎托洛维奇著,上海社会科学院出版社,2020,上海,"46,10,863页",D751.69,1,0,1,40.03,Social Sciences
在希腊,9787500879701.0,54.0,（爱尔兰）马哈菲著,中国工人出版社,2022,北京,200页,K125,2,1,3,48.12,Social Sciences
在绝望之巅,9787559660503.0,49.8,(法)齐奥朗著　唐江译,北京联合出版公司,2022,北京,203,B565.59,1,0,1,13.81,General / Misc
地书 ,9787549513697.0,58.0,徐冰 ,桂林,2012,广西师范大学出版社,112页,J522,1,0,1,10.8,Arts
垃圾DNA ,9787229117498.0,39.8,"(英)内莎·凯里 (女，Carey, Nessa) 著", 重庆出版社, 2017,重庆 ,220页 : 图，照片 ,Q523-49,1,0,1,7.84,Science
基因开关,9787500170952.0,58.0,（日）生田哲著,中译出版社,2022,北京,"12,197页",Q3-49,1,0,1,1.28,Science
基因社会,9787559407290.0,49.8,(美)莱凯尔等著;尹晓虹等译,江苏凤凰文艺出版社,2017.07   ,南京,251页     ,Q343.2,1,0,1,17.98,Science
基因论,9787229168629.0,48.0,（美）摩尔根著,重庆出版社,2022,重庆,295页,Q343.1,2,0,2,13.99,Science
基督山伯爵 （上）,9787532751242.0,39.0,(法)大仲马著,上海译文出版社,2010,上海,693页,I565.44,2,0,2,56.49,Literature
基督山伯爵 （下）,9787532751242.0,39.0,(法)大仲马著,上海译文出版社,2010,上海,696-1409页,I565.44,1,0,1,34.88,Literature
基督山伯爵:全2册-上册,9787532778140.0,44.5,(法)大仲马著,上海译文出版社,2018.12   ,上海,693页     ,I565.44,3,2,5,17.64,Literature
基督教史：最初的三千年,9787518814466.0,218.0,(英)迪尔梅德·麦卡洛克 ,宗教文化出版社 ,2024,北京 ,1137页 ,B979,1,0,1,28.98,General / Misc
基督教神学,9787544732871.0,39.0,(英)福特著;吴周放译,译林出版社,2014.06   ,南京,181页     ,B972,1,0,1,44.16,General / Misc
基础有机化学. 上册 ,9787301272121.0,89.0,邢其毅 (1911~2002) 著, 北京大学出版社, 2016,北京 ,"10,660页 : 图 ",O62,1,0,1,20.78,Science
堂吉诃德,9787540254308.0,128.0,（西）塞万提斯著,北京燕山出版社,2019,北京,"10,1036页",I551.43,1,0,1,40.67,Literature
堕落 流放与王国,9787544784405.0,55.0,（法）加缪著,译林出版社,2021,南京,239页,I565.45,1,0,1,56.26,Literature
塑料的世界,9787030609915.0,58.0,魏昕宇著,科学出版社,2019,北京,"10,265页",TB324-49,1,0,1,217.71,Science
塔木德 ,9787802204003.0,36.0,(美)赫里姆 著, 中国画报出版社, 2009,北京 ,"11,238页 ",F715,1,0,1,34.27,Social Sciences
复杂的引擎,9787535794611.0,59.0,(美)梅菲尔德著;唐璐译,湖南科学技术出版社,2018.01   ,长沙,384页     ,TP301.5-49,1,1,2,59.58,Science
复活,9787532752409.0,48.0,(俄罗斯)托尔斯泰著,上海译文出版社,2011.01,上海,516页,I512.44,1,0,1,81.97,Literature
夏天、烟火和我的尸体,9787544296274.0,45.0,（日）乙一著,南海出版公司,2019,海口,185页,I313.45,1,0,1,6.0,Literature
外婆的道歉信,9787201116693.0,42.0,(瑞典)弗雷德里克·巴克曼著;孟汇一译,天津人民出版社,2017.05   ,天津,344页     ,I532.45,1,0,1,22.87,Literature
夜晚的潜水艇 ,9787542669964.0,52.0,陈春成 (1990~) 著, 上海三联书店, 2020,上海 ,219页 ,I247.7,1,0,1,37.8,Literature
夜莺,9787559654168.0,68.0,(美)汉娜著,北京联合出版公司,2021,北京,521页,I712.45,1,1,2,92.04,Literature
夜莺与玫瑰,9787540493127.0,45.0,（英）王尔德著,湖南文艺出版社,2019,长沙,186页,I561.88,2,0,2,23.4,Literature
大学之路 : 陪女儿在美国选大学. 上册,9787115470294.0,49.5,吴军 ,人民邮电出版社 ,2018,北京 ,326页,G649.712.8,1,0,1,117.06,General / Misc
"大秦帝国·第一部, 黑色裂变. 上卷",9787208152472.0,18.0,孙皓晖著,上海人民出版社,2019,上海,398页,I247.53,1,0,1,14.0,Literature
"大秦帝国·第一部, 黑色裂变. 下卷",9787208152472.0,58.0,孙皓晖著,上海人民出版社,2019,上海,426页,I247.53,1,0,1,14.21,Literature
"大秦帝国·第三部, 金戈铁马. 上卷",9787208152472.0,58.0,孙皓晖著,上海人民出版社,2019,上海,426页,I247.53,1,1,2,24.8,Literature
"大秦帝国·第三部, 金戈铁马. 下卷",9787208152472.0,58.0,孙皓晖著,上海人民出版社,2019,上海,426页,I247.53,1,0,1,14.3,Literature
"大秦帝国·第二部, 国命纵横. 上卷",9787208152472.0,58.0,孙皓晖著,上海人民出版社,2019,上海,426页,I247.53,1,0,1,18.8,Literature
"大秦帝国·第二部, 国命纵横. 下卷",9787208152472.0,58.0,孙皓晖著,上海人民出版社,2019,上海,426页,I247.53,1,0,1,10.52,Literature
"大秦帝国·第五部, 铁血文明. 上卷",9787208152472.0,58.0,孙皓晖著,上海人民出版社,2019,上海,495页,I247.53,1,0,1,4.17,Literature
"大秦帝国·第四部, 阳谋春秋. 上卷",9787208152472.0,58.0,孙皓晖著,上海人民出版社,2019,上海,426页,I247.53,1,0,1,9.97,Literature
"大秦帝国·第四部, 阳谋春秋. 下卷",9787208152472.0,58.0,孙皓晖著,上海人民出版社,2019,上海,495页,I247.53,1,0,1,11.01,Literature
大问题,9787302498872.0,98.0,希金斯著;张卜天译,清华大学出版社,2018      ,北京,438页     ,B0,1,0,1,,General / Misc
天堂,9787532790890.0,78.0,"(英)阿卜杜勒拉扎克·古尔纳 (Gurnah, Abdulrazak 1948~) 著",上海译文出版社,2022,上海,283页,I561.45,1,1,2,,Literature
天才基本法：完结篇. 上,9787559437372.0,39.0,长洱 著, 江苏凤凰文艺出版社, 2019,南京 ,2册(560页) ,I247.5,1,0,1,30.12,Literature
天生有罪 ,9787201162638.0,68.0,"(南非)诺亚 (Noah, Trevor 1984.2-) 著", 天津人民出版社, 2020,天津 ,294页 ,I478.55,1,0,1,41.89,Literature
天蓝色的彼岸,9787801871527.0,19.8,(英)希尔著;张雪松译,新世界出版社,2014.12   ,北京,260页     ,I561.85,2,1,3,34.07,Literature
天黑以后,9787544299787.0,49.0,村上春树,南海出版公司,2022,海口,196页,I313.45,1,0,1,7.99,Literature
失落的一代：中国的上山下乡运动(1968~198),9787500092445.0,54.0,（法）潘鸣啸著,中国大百科全书出版社,2013,北京,453页,D432.9,1,1,2,57.9,Social Sciences
失落的秘符,9787020126972.0,79.0,(美)布朗著,人民文学出版社,2017      ,北京,503页     ,I712.45,1,0,1,18.83,Literature
契诃夫短篇小说集,9787540237004.0,29.0,(俄罗斯)契诃夫著,北京燕山出版社,2017.08   ,北京,387页     ,I512.44,3,2,5,39.6,Literature
女孩们,9787559612236.0,49.8,(美)克莱因著;韩冬译,北京联合出版公司,2018.01   ,北京,353页     ,I712.45,1,0,1,0.67,Literature
女孩儿们,9787533964160.0,52.0,(俄)乌利茨卡娅著,浙江文艺出版社,2021,杭州,197页,I512.45,1,1,2,,Literature
女生徒,9787201154527.0,39.8,（日）太宰治(1909-1948)著,天津人民出版社,2020,天津,192页,I313.45,1,0,1,18.89,Literature
她们,9787229105457.0,48.0,(美)麦卡锡著,重庆出版社,2016.02   ,重庆,386页     ,I712.45,1,0,1,15.12,Literature
好好告别,9787572502583.0,79.9,（英）曼尼克斯著,河南科学技术出版社,2021,郑州,"11,327页",I712.55,1,1,2,,Literature
好笑的爱,9787532789955.0,72.0,（法）昆德拉著,上海译文出版社有限公司,2022,上海,347页,I565.45,1,0,1,13.23,Literature
如何阅读达尔文,9787568942515.0,52.0,(英)马克·里德利 ,重庆大学出版社 ,2024,重庆 ,"17,168页 ",Q111.2,1,1,2,58.34,Science
如果尸体会说话,9787571015923.0,59.0,（美）罗琦著,湖南科学技术出版社,2022,长沙,235页,R322,1,0,1,12.73,General / Misc
娱乐何为,9787521704815.0,38.0,韩炳哲著,中信出版集团股份有限公司,2019,北京,190页,B0,1,0,1,14.97,General / Misc
存在与时间,9787559814487.0,45.0,陈嘉映著,广西师范大学出版社,2019,桂林,317页,B086,3,0,3,25.45,General / Misc
存在与虚无,9787108050984.0,68.0,"(法)萨特 (Sartre, Jean-Paul 1905~1980) 著", 生活·读书·新知三联书店, 2014,北京,762页 ,B086,2,1,3,6.12,General / Misc
存在主义咖啡馆:自由、存在和杏子鸡尾酒,9787559610782.0,88.0,(美)贝克韦尔,北京联合出版公司,2018.01   ,北京,563页     ,B085,2,0,2,19.57,General / Misc
存在主义心理学的邀请,9787559662347.0,59.0,（丹）雅各布森著,北京联合出版公司,2022,北京,"19,265页",B84-066,1,1,2,57.79,General / Misc
存在主义是一种人道主义,9787532758012.0,32.0,（法）萨特著,上海译文出版社,2012.6,上海,113页,B086,1,1,2,108.09,General / Misc
孤独力 ,9787201140070.0,42.8,(日)午堂登纪雄 (1971~) 著, 天津人民出版社, 2018,天津 ,251页 ,B821,1,0,1,124.78,General / Misc
孤独是迷人的,9787572225789.0,42.0,（美）狄金森著,浙江教育出版社,2021,杭州,"47,372页",I712.25,1,0,1,0.0,Literature
孤独美食家 ,9787540453190.0,49.0,(日)村上龙 (1952.2~) 著, 湖南文艺出版社, 2013,长沙 ,286页 ,I313.45,1,0,1,0.78,Literature
宏观经济数据分析手册,9787564237820.0,128.0,李奇霖 著,上海财经大学出版社,2021,上海,564页,F015-62,1,0,1,60.99,Social Sciences
宗教哲学经典选读,9787301095720.0,59.8,（美）斯图尔特著,北京大学出版社,2005,北京,653页,B920,1,0,1,13.79,General / Misc
宗教社会学 宗教与世界 ,9787542670540.0,80.0,"(德)马克斯·韦伯 (Weber, Max 1864~1920) 著",上海三联书店,2021,上海,"10,520页",B920,1,0,1,28.19,General / Misc
审判 ,9787513930826.0,49.8,(奥)弗兰兹·卡夫卡 著, 民主与建设出版社有限责任公司, 2020,北京 ,222页 ,I521.45,1,1,2,53.2,Literature
对活人的治理：1979-198,9787208165212.0,90.0,（法）米歇尔·福柯著,上海 上海人民出版社 2020,2020,上海,541页,B920,1,0,1,9.02,General / Misc
寻求平衡,9787211089819.0,56.0,贞尧仔著,福建人民出版社,2023,福州,350页,B821-49,1,1,2,52.65,General / Misc
小妇人,9787532757008.0,48.0,(美)奥尔科特著,上海译文出版社,2012,上海,535页,I712.44,2,1,3,38.59,Literature
小岛经济学,9787508672960.0,48.0,(美)彼得著;胡晓姣译,中信出版社,2017.03   ,北京,298页     ,F0-49,1,0,1,2.74,Social Sciences
少年、胭脂与灵怪,9787521732962.0,49.0,周恺著,中信出版集团股份有限公司,2021,北京,209页,I247.7,1,0,1,48.19,Literature
尼采,9787544729680.0,39.0,(英)坦纳著;于洋译,译林出版社,2013.05   ,南京,109页     ,B516.47,1,0,1,56.19,General / Misc
局外人,9787532761760.0,32.0,（法）加缪著,上海译文出版社,2013,上海,"25,128页",I565.45,3,0,3,6.11,Literature
山海变.1指间错,9787020169283.0,58.0,八月槎,人民文学出版社,2022,北京,315页,I247.5,2,1,3,19.93,Literature
山海变.2绾青丝,9787020169276.0,58.0,八月槎,人民文学出版社,2022,北京,285页,I247.5,2,1,3,26.28,Literature
山海变.3星野乱,9787020169290.0,58.0,八月槎,人民文学出版社,2022,北京,291页,I247.5,2,1,3,29.32,Literature
山海变.4奔掠火,9787020166732.0,58.0,八月槎,人民文学出版社,2022,北京,294页,I247.5,2,1,3,22.2,Literature
山海变.5旧时雨,9787020166718.0,58.0,八月槎,人民文学出版社,2022,北京,297页,I247.5,2,1,3,21.66,Literature
